n   	classic	gemm 	322 	232 	223 	333-21 	224 	242 	422 	225 	252 	522 	323 	332 	233 	334 	343 	433 	442 	424 	244 	444 	552 	525 	255 	555 	272 	227 	722 	333-20 	
256		7.478e1	1.514e2	7.789e1	1.104e2	8.429e1	8.914e1	8.401e1	1.124e2	1.111e2	5.854e1	1.038e2	1.062e2	8.691e1	1.054e2	8.132e1	7.549e1	8.916e1	9.034e1	1.146e2	8.053e1	8.158e1	9.176e1	1.14e2	6.819e1	7.092e1	7.802e1	9.943e1	5.688e1	9.61e1	8.912e1	
512		9.519e1	1.593e2	1.51e2	1.563e2	1.133e2	1.388e2	1.441e2	1.634e2	1.63e2	1.216e2	1.571e2	1.385e2	1.38e2	1.343e2	1.348e2	1.431e2	1.292e2	1.403e2	1.545e2	1.484e2	1.513e2	1.462e2	1.679e2	1.235e2	1.268e2	1.272e2	1.552e2	1.004e2	1.332e2	1.413e2	
768		9.865e1	1.626e2	1.636e2	1.659e2	1.396e2	1.633e2	1.499e2	1.783e2	1.753e2	1.348e2	1.691e2	1.654e2	1.65e2	1.675e2	1.675e2	1.627e2	1.285e2	1.703e2	1.811e2	1.68e2	1.602e2	1.657e2	1.797e2	1.309e2	9.805e1	1.164e2	1.583e2	1.079e2	1.613e2	1.705e2	
1024	9.895e1	1.622e2	1.672e2	1.702e2	1.488e2	1.631e2	1.602e2	1.758e2	1.812e2	1.495e2	1.751e2	1.735e2	1.734e2	1.618e2	1.698e2	1.747e2	1.633e2	1.797e2	1.864e2	1.796e2	1.79e2	1.683e2	1.755e2	1.589e2	1.538e2	1.554e2	1.741e2	1.29e2	1.738e2	1.734e2	
