n	bini322	dgemm	schonhage333	smirnov224	smirnov225	smirnov272	smirnov323	smirnov333	smirnov334	smirnov442	smirnov444	smirnov552	smirnov555
512	85.3811821937561	71.70198392868042	85.91587352752686	75.41119694709778	79.02168321609497	81.32523250579834	83.81179237365723	85.44260573387146	86.37393832206726	73.88405132293701	80.00197434425354	85.82615971565247	91.31681203842163
1024	179.73833680152893	173.69347047805786	178.26868605613708	173.511638879776	182.2400722503662	184.02126955986023	179.5522689819336	177.1149411201477	178.4058539867401	171.1898317337036	173.71502542495728	212.4438123703003	217.6238076686859
2048	497.16718792915344	437.3916506767273	506.0054488182068	429.23924684524536	450.02649116516113	446.08354210853577	496.31162881851196	503.6147675514221	506.0711214542389	414.1629078388214	415.36602568626404	514.7556512355804	532.411972284317
4096	1319.179547548294	1377.6814913749695	1311.1455206871033	1320.4987547397614	1322.9177384376526	1438.9646821022034	1301.1707332134247	1288.5299730300903	1292.534866809845	1223.6789863109589	1225.1108150482178	1276.066576719284	1274.4274635314941
8192	4435.343993425369	4142.804166793823	4369.546405553818	3868.0524401664734	3855.7543621063232	4013.7364032268524	4352.2798862457275	4270.804925203323	4268.261449098587	3673.2305076122284	3674.4029195308685	4408.090520858765	4196.6636164188385
