n   	classic	gemm 	322 	333-21 	422 	522 	722 	332 	333-20 	433 	442 	444 	552 	555
512	1.342e1	1.214e2	3.695e1	4.346e1	1.048e2	5.611e1	6.001e1	6.289e1	4.635e1	5.609e1	1.06e2	6.481e1	5.771e1	4.359e1	
1024	1.441e2	1.442e2	9.769e1	1.168e2	1.46e2	1.21e2	1.132e2	1.3e2	1.21e2	1.312e2	1.509e2	1.326e2	7.29e1	7.786e1	
1536	1.611e2	1.568e2	1.317e2	1.572e2	1.691e2	1.536e2	1.423e2	1.752e2	1.588e2	1.715e2	1.788e2	1.703e2	1.621e2	1.675e2	
2048	2.08e2	3.082e2	1.059e2	1.067e2	1.822e2	1.446e2	1.33e2	1.255e2	1.264e2	1.188e2	1.88e2	1.789e2	1.028e2	1.133e2	
2560	2.071e2	3.122e2	1.561e2	1.601e2	1.737e2	1.638e2	1.739e2	1.873e2	1.653e2	1.72e2	1.944e2	1.71e2	2.131e2	2.124e2	
3072	1.841e2	3.132e2	1.988e2	1.794e2	1.799e2	1.69e2	1.63e2	1.917e2	1.825e2	1.845e2	2.093e2	1.916e2	1.584e2	1.628e2	
3584	1.812e2	3.274e2	1.656e2	1.458e2	1.997e2	1.761e2	1.662e2	1.426e2	1.64e2	1.419e2	2.257e2	1.702e2	1.959e2	1.69e2	
4096	1.995e2	3.226e2	2.414e2	2.051e2	2.15e2	1.826e2	1.679e2	2.192e2	2.095e2	2.561e2	3.022e2	2.257e2	2.377e2	2.656e2	
4608	1.691e2	3.146e2	2.457e2	2.307e2	2.886e2	2.082e2	1.982e2	2.32e2	1.69e2	2.57e2	2.719e2	2.323e2	1.939e2	2.084e2	
5120	1.915e2	3.164e2	1.666e2	1.552e2	2.935e2	2.315e2	1.981e2	1.808e2	1.689e2	1.971e2	3.472e2	2.75e2	2.804e2	2.974e2	
5632	2.127e2	3.104e2	2.58e2	1.94e2	3.23e2	2.538e2	2.043e2	2.999e2	2.41e2	3.007e2	3.454e2	2.839e2	2.371e2	2.223e2	
6144	1.682e2	2.557e2	2.805e2	2.363e2	3.144e2	2.383e2	2.249e2	2.91e2	2.525e2	2.951e2	3.608e2	2.783e2	2.052e2	1.815e2	
6656	2.052e2	3.032e2	2.199e2	1.784e2	3.256e2	2.788e2	2.35e2	2.274e2	1.988e2	2.361e2	3.773e2	3.039e2	3.441e2	3.003e2	
7168	2.118e2	3.29e2	2.931e2	2.404e2	3.411e2	2.543e2	2.418e2	3.031e2	2.568e2	2.99e2	3.854e2	3.061e2	2.181e2	2.088e2	
7680	1.820e2	3.222e2	3.027e2	2.475e2	3.382e2	2.767e2	2.406e2	3.359e2	2.741e2	3.251e2	3.886e2	3.171e2	3.772e2	3.349e2	
8192	1.946e2	3.308e2	2.115e2	1.91e2	3.257e2	2.688e2	2.405e2	2.253e2	1.979e2	2.315e2	3.936e2	3.138e2	2.471e2	2.314e2	
