n   	classic	gemm 	322 	232 	223 	333-21 	224 	242 	422 	225 	252 	522 	323 	332 	233 	334 	343 	433 	442 	424 	244 	444 	552 	525 	255 	555 	272 	227 	722 	333-20 	
1024	8.683E1	1.552E2	1.453E2	1.397E2	1.366E2	1.327E2	1.315E2	1.518E2	1.486E2	1.209E2	1.159E2	1.401E2	1.420E2	1.306E2	1.434E2	1.393E2	1.410E2	1.429E2	1.497E2	1.365E2	1.433E2	1.507E2	1.429E2	1.210E2	1.233E2	1.267E2	1.388E2	1.076E2	1.367E2	1.387E2
2048	8.824E1	1.548E2	1.389E2	1.622E2	1.527E2	1.382E2	1.386E2	1.493E2	1.503E2	1.400E2	1.488E2	1.580E2	1.467E2	1.532E2	1.540E2	1.459E2	1.588E2	1.533E2	1.670E2	1.570E2	1.527E2	1.582E2	1.482E2	1.454E2	1.464E2	1.637E2	1.712E2	1.257E2	1.538E2	1.441E2
3072	8.896E1	1.640E2	1.399E2	1.536E2	1.636E2	1.617E2	1.595E2	1.614E2	1.723E2	1.651E2	1.626E2	1.598E2	1.687E2	1.511E2	1.731E2	1.606E2	1.787E2	1.812E2	1.851E2	1.683E2	1.706E2	1.787E2	1.799E2	1.740E2	1.668E2	1.687E2	1.621E2	1.478E2	1.515E2	1.498E2
4096	9.062E1	1.596E2	1.648E2	1.447E2	1.710E2	1.530E2	1.604E2	1.680E2	1.716E2	1.548E2	1.454E2	1.514E2	1.788E2	1.548E2	1.799E2	1.688E2	1.718E2	1.820E2	1.770E2	1.958E2	1.942E2	1.716E2	1.717E2	1.701E2	1.826E2	1.626E2	1.556E2	1.529E2	1.776E2	1.661E2
