n	bini322	dgemm	schonhage333	smirnov224	smirnov225	smirnov272	smirnov323	smirnov333	smirnov334	smirnov442	smirnov444	smirnov552	smirnov555
512	129.07126235961914129.07126235961914129.07126235961914129.07126235961914	68.046335458755568.046335458755568.046335458755568.0463354587555	130.82700872421265130.82700872421265130.82700872421265130.82700872421265	108.63535475730896108.63535475730896108.63535475730896108.63535475730896	115.81135773658752115.81135773658752115.81135773658752115.81135773658752	122.5291519165039122.5291519165039122.5291519165039122.5291519165039	121.22940278053284121.22940278053284121.22940278053284121.22940278053284	126.97806811332703126.97806811332703126.97806811332703126.97806811332703	125.23639011383057125.23639011383057125.23639011383057125.23639011383057	107.8613064289093107.8613064289093107.8613064289093107.8613064289093	119.66317629814148119.66317629814148119.66317629814148119.66317629814148	122.35199069976807122.35199069976807122.35199069976807122.35199069976807	134.4991590976715134.4991590976715134.4991590976715134.4991590976715
1024	240.47868752479553240.47868752479553240.47868752479553240.47868752479553	154.2640416622162154.2640416622162154.2640416622162154.2640416622162	233.68869948387146233.68869948387146233.68869948387146233.68869948387146	203.71585083007812203.71585083007812203.71585083007812203.71585083007812	214.70311450958252214.70311450958252214.70311450958252214.70311450958252	241.31830978393555241.31830978393555241.31830978393555241.31830978393555	230.9344129562378230.9344129562378230.9344129562378230.9344129562378	235.45433068275452235.45433068275452235.45433068275452235.45433068275452	206.1169469356537206.1169469356537206.1169469356537206.1169469356537	219.49329733848572219.49329733848572219.49329733848572219.49329733848572	209.30835700035095209.30835700035095209.30835700035095209.30835700035095	264.4419460296631264.4419460296631264.4419460296631264.4419460296631	274.58604311943054274.58604311943054274.58604311943054274.58604311943054
2048	553.5628187656403553.5628187656403553.5628187656403553.5628187656403	378.3436117172241378.3436117172241378.3436117172241378.3436117172241	549.3058059215546549.3058059215546549.3058059215546549.3058059215546	454.573264837265454.573264837265454.573264837265454.573264837265	465.7913134098053465.7913134098053465.7913134098053465.7913134098053	464.2494270801544464.2494270801544464.2494270801544464.2494270801544	531.5364236831665531.5364236831665531.5364236831665531.5364236831665	543.9686448574066543.9686448574066543.9686448574066543.9686448574066	532.5825116634369532.5825116634369532.5825116634369532.5825116634369	430.89213848114014430.89213848114014430.89213848114014430.89213848114014	453.4246015548706453.4246015548706453.4246015548706453.4246015548706	529.304701089859529.304701089859529.304701089859529.304701089859	575.2949132919312575.2949132919312575.2949132919312575.2949132919312
4096	1222.81465339660641222.81465339660641222.81465339660641222.8146533966064	1092.64845061302191092.64845061302191092.64845061302191092.6484506130219	1238.9591774940491238.9591774940491238.9591774940491238.959177494049	1115.59182953834531115.59182953834531115.59182953834531115.5918295383453	1176.50841903686521176.50841903686521176.50841903686521176.5084190368652	1401.91326928138731401.91326928138731401.91326928138731401.9132692813873	1099.66603636741641099.66603636741641099.66603636741641099.6660363674164	1179.7919287681581179.7919287681581179.7919287681581179.791928768158	1103.2688696384431103.2688696384431103.2688696384431103.268869638443	1060.8046727180481060.8046727180481060.8046727180481060.804672718048	1093.73202800750731093.73202800750731093.73202800750731093.7320280075073	1064.08610439300541064.08610439300541064.08610439300541064.0861043930054	1081.47498297691351081.47498297691351081.47498297691351081.4749829769135
8192	3657.23044991493233657.23044991493233657.23044991493233657.2304499149323	2881.6032681465152881.6032681465152881.6032681465152881.603268146515	3805.9184546470643805.9184546470643805.9184546470643805.918454647064	2879.2204635143282879.2204635143282879.2204635143282879.220463514328	3082.2568972110753082.2568972110753082.2568972110753082.256897211075	3520.7022435665133520.7022435665133520.7022435665133520.702243566513	3446.2925105094913446.2925105094913446.2925105094913446.292510509491	3720.84193587303163720.84193587303163720.84193587303163720.8419358730316	3363.8234138488773363.8234138488773363.8234138488773363.823413848877	2734.6188499927522734.6188499927522734.6188499927522734.618849992752	2904.7654023170472904.7654023170472904.7654023170472904.765402317047	3413.437812089923413.437812089923413.437812089923413.43781208992	3303.09638953208923303.09638953208923303.09638953208923303.0963895320892
