n   	classic	gemm 	322 	232 	223 	333-21 	224 	242 	422 	225 	252 	522 	323 	332 	233 	334 	343 	433 	442 	424 	244 	444 	552 	525 	255 	555 	272 	227 	722 	333-20 	
1024	8.94e-1	1.572e0	1.424e0	1.249e0	1.484e0	1.394e0	1.379e0	1.559e0	1.554e0	1.214e0	1.447e0	1.458e0	1.417e0	1.425e0	1.344e0	1.35e0	1.462e0	1.397e0	1.638e0	1.483e0	1.347e0	1.473e0	1.579e0	1.319e0	1.196e0	1.208e0	1.377e0	1.097e0	1.471e0	1.548e0	
2048	3.689e0	6.437e0	6.405e0	5.829e0	6.174e0	6.32e0	6.646e0	6.67e0	6.853e0	5.91e0	5.456e0	6.979e0	6.524e0	6.558e0	6.083e0	6.4e0	6.157e0	5.989e0	7.579e0	7.002e0	6.555e0	7.333e0	6.88e0	6.655e0	6.03e0	6.402e0	5.329e0	5.646e0	6.256e0	6.288e0	
3072	8.381e0	1.436e1	1.506e1	1.47e1	1.448e1	1.512e1	1.48e1	1.56e1	1.587e1	1.411e1	1.472e1	1.595e1	1.661e1	1.6e1	1.502e1	1.626e1	1.582e1	1.628e1	1.694e1	1.688e1	1.666e1	1.733e1	1.538e1	1.558e1	1.526e1	1.673e1	1.465e1	1.411e1	1.617e1	1.548e1	
4096	1.542e1	2.521e1	2.692e1	2.655e1	2.75e1	2.81e1	2.806e1	2.689e1	2.968e1	2.639e1	2.634e1	2.808e1	2.934e1	2.709e1	2.884e1	2.761e1	2.795e1	2.967e1	3.255e1	3.107e1	3.035e1	3.135e1	2.932e1	2.97e1	2.714e1	3.151e1	2.488e1	2.674e1	3.025e1	2.917e1	
