n   	classic	gemm 	322 	232 	223 	333-21 	224 	242 	422 	225 	252 	522 	232 	332 	233 	334 	343 	433 	442 	424 	244 	444 	552 	525 	255 	555 	272 	227 	722 	333-20 	
512		2.58e-1	6.92e-2	5.26e-2	6.58e-2	6.63e-2	5.28e-2	6.99e-2	6.5e-2	5.85e-2	6.57e-2	6.34e-2	4.63e-2	5.68e-2	5.32e-2	6.66e-2	5.71e-2	5.43e-2	6.1e-2	6e-2	6.04e-2	7.1e-2	5.92e-2	4.55e-2	4.7e-2	7.04e-2	4.62e-2	6.06e-2	6.81e-2	4.47e-2	5.49e-2	
1024	1.002e0	2.91e-1	2.6e-1	2.96e-1	3.03e-1	2.78e-1	3.1e-1	3.03e-1	2.86e-1	3.09e-1	2.87e-1	2.2e-1	2.84e-1	2.81e-1	3.06e-1	2.85e-1	2.81e-1	3.01e-1	2.9e-1	3.08e-1	3.52e-1	3.25e-1	2.17e-1	2.36e-1	3.46e-1	2.44e-1	3.03e-1	3.18e-1	2.11e-1	2.84e-1	
1536	2.007e0	6.61e-1	6.89e-1	7.03e-1	7.25e-1	7.19e-1	7.36e-1	7.24e-1	6.97e-1	7.42e-1	6.61e-1	6.48e-1	7.4e-1	7.24e-1	7.36e-1	7.45e-1	7.39e-1	7.26e-1	7.19e-1	7.32e-1	8.19e-1	8.12e-1	6.52e-1	6.87e-1	8e-1	7.08e-1	6.88e-1	7.6e-1	5.62e-1	7.4e-1	
2048	3.997e0	1.178e0	1.145e0	1.257e0	1.297e0	1.146e0	1.311e0	1.286e0	1.27e0	1.323e0	1.237e0	1.111e0	1.216e0	1.178e0	1.298e0	1.218e0	1.228e0	1.32e0	1.316e0	1.364e0	1.476e0	1.465e0	1.144e0	1.147e0	1.438e0	1.233e0	1.231e0	1.375e0	1.066e0	1.178e0	
2560	6.261e0	1.861e0	1.956e0	1.962e0	2.083e0	2.025e0	2.045e0	2.052e0	2.042e0	2.072e0	1.902e0	2.034e0	2.086e0	1.98e0	2.123e0	2.088e0	2.083e0	2.138e0	2.102e0	2.193e0	2.341e0	2.377e0	2.047e0	2.177e0	2.268e0	2.222e0	1.96e0	2.192e0	1.789e0	2.053e0	
3072	6.843e0	2.634e0	2.919e0	2.879e0	2.997e0	3.011e0	2.981e0	2.984e0	2.992e0	3.096e0	2.868e0	2.739e0	3.119e0	3.031e0	3.06e0	3.135e0	3.126e0	3.124e0	3.105e0	3.208e0	3.347e0	3.43e0	2.793e0	2.909e0	3.244e0	2.958e0	2.827e0	3.181e0	2.611e0	3.125e0	
3584	1.240e1	3.655e0	3.777e0	3.999e0	4.119e0	4.025e0	4.168e0	4.08e0	4.077e0	4.225e0	3.98e0	3.888e0	4.065e0	3.955e0	4.236e0	4.134e0	4.123e0	4.267e0	4.288e0	4.421e0	4.605e0	4.695e0	3.985e0	4.17e0	4.383e0	4.168e0	3.887e0	4.32e0	4.021e0	4.137e0	
4096	1.455e1	4.591e0	5.175e0	5.179e0	5.308e0	5.303e0	5.415e0	5.292e0	5.267e0	5.467e0	5.12e0	5.248e0	5.538e0	5.318e0	5.33e0	5.535e0	5.512e0	5.575e0	5.544e0	5.712e0	5.93e0	6.083e0	5.353e0	5.638e0	5.763e0	5.61e0	5.04e0	5.543e0	5.183e0	5.536e0	
