n   	classic	gemm 	322 	232 	223 	333-21 	224 	242 	422 	225 	252 	522 	323 	332 	233 	334 	343 	433 	442 	424 	244 	444 	552 	525 	255 	555 	272 	227 	722 	333-20 	
256		6.542e1	1.359e2	9.533e1	8.172e1	9.771e1	8.356e1	8.616e1	7.042e1	9.782e1	9.679e1	6.123e1	9.264e1	9.899e1	8.339e1	8.393e1	8.07e1	7.479e1	7.217e1	7.902e1	1.042e2	7.912e1	8.992e1	6.729e1	1.021e2	6.883e1	7.5e1	2.64e1	9.475e1	8.307e1	8.102e1	
512		8.328e1	1.526e2	1.36e2	1.183e2	1.384e2	1.213e2	1.393e2	1.249e2	1.421e2	1.348e2	1.042e2	1.316e2	1.404e2	1.223e2	1.229e2	1.194e2	1.246e2	1.245e2	1.329e2	1.493e2	1.277e2	1.689e2	1.101e2	1.431e2	1.141e2	1.424e2	9.42e1	1.325e2	1.325e2	1.179e2	
768		8.791e1	1.598e2	1.478e2	1.647e2	1.385e2	1.725e2	1.558e2	1.813e2	1.623e2	1.492e2	1.486e2	1.451e2	1.557e2	1.807e2	1.602e2	1.559e2	1.769e2	1.635e2	1.896e2	1.652e2	1.852e2	1.776e2	1.552e2	1.539e2	1.602e2	1.551e2	1.14e2	1.468e2	1.546e2	1.552e2	
1024	8.878e1	1.633e2	1.544e2	1.631e2	1.383e2	1.702e2	1.623e2	1.625e2	1.657e2	1.577e2	1.658e2	1.315e2	1.628e2	1.77e2	1.709e2	1.605e2	1.856e2	1.78e2	1.913e2	1.723e2	1.941e2	1.905e2	1.635e2	1.601e2	1.787e2	1.689e2	1.194e2	1.536e2	1.521e2	1.676e2	
