n   	classic	gemm 	322 	232 	223 	333-21 	224 	242 	422 	225 	252 	522 	323 	332 	233 	334 	343 	433 	442 	424 	244 	444 	552 	525 	255 	555 	272 	227 	722 	333-20 	
1024	5.016e0	9.78e0	8.868e0	8.394e0	8.968e0	8.468e0	8.923e0	7.979e0	9.172e0	8.173e0	6.291e0	8.677e0	9.311e0	8.413e0	8.02e0	8.59e0	8.367e0	8.706e0	8.87e0	9.391e0	8.93e0	7.928e0	7.477e0	8.666e0	7.876e0	7.689e0	6.377e0	8.682e0	8.28e0	7.484e0	
2048	2.183e1	3.923e1	3.946e1	4.018e1	3.69e1	3.722e1	4.044e1	3.509e1	3.84e1	3.609e1	3.208e1	3.589e1	4.143e1	3.256e1	3.292e1	3.369e1	3.973e1	3.528e1	3.812e1	3.778e1	3.716e1	3.785e1	3.268e1	3.767e1	3.492e1	3.352e1	3.327e1	3.59e1	3.793e1	3.373e1	
3072	5.316e1	9.184e1	8.5e1	9.193e1	9.119e1	9.858e1	9.476e1	8.667e1	9.277e1	9.256e1	8.248e1	9.02e1	9.059e1	9.802e1	1.011e2	9.961e1	1.002e2	9.877e1	9.93e1	9.78e1	9.451e1	9.078e1	9.511e1	9.305e1	9.696e1	9.566e1	9.484e1	8.458e1	8.728e1	8.992e1	
4096	9.587e1	1.574e2	1.658e2	1.615e2	1.564e2	1.495e2	1.652e2	1.62e2	1.71e2	1.63e2	1.614e2	1.532e2	1.56e2	1.734e2	1.684e2	1.612e2	1.792e2	1.788e2	1.813e2	1.784e2	1.737e2	1.64e2	1.53e2	1.647e2	1.711e2	1.72e2	1.526e2	1.634e2	1.587e2	1.651e2	
