n   	classic	gemm 	322 	232 	223 	333-21 	224 	242 	422 	225 	252 	522 	323 	332 	233 	334 	343 	433 	442 	424 	244 	444 	552 	525 	255 	555 	272 	227 	722 	333-20 	
1024	8.276E1	1.230E2	1.183E2	1.054E2	1.042E2	9.924E1	1.263E2	1.399E2	1.197E2	1.148E2	1.281E2	5.524E1	1.187E2	9.884E1	1.287E2	9.256E1	1.184E2	1.236E2	1.198E2	1.030E2	1.398E2	1.294E2	6.144E1	5.412E1	1.218E2	5.864E1	1.282E2	1.011E2	5.196E1	1.316E2
2048	1.076E2	1.585E2	1.345E2	1.435E2	1.064E2	1.499E2	1.651E2	1.495E2	1.631E2	1.462E2	1.671E2	5.941E1	1.507E2	9.778E1	1.441E2	1.553E2	1.569E2	1.627E2	1.763E2	1.527E2	1.789E2	1.663E2	6.586E1	5.715E1	1.664E2	6.364E1	1.633E2	1.326E2	6.489E1	1.559E2
3072	1.092E2	1.589E2	1.141E2	1.294E2	1.312E2	1.159E2	1.646E2	1.733E2	1.493E2	1.214E2	1.526E2	6.547E1	1.585E2	1.593E2	1.307E2	1.632E2	1.520E2	1.422E2	1.659E2	1.644E2	1.634E2	1.646E2	6.796E1	6.018E1	1.552E2	6.427E1	1.491E2	1.638E2	6.084E1	1.508E2
4096	1.028E2	1.583E2	1.385E2	1.257E2	1.514E2	1.492E2	1.653E2	1.764E2	1.404E2	1.693E2	1.635E2	5.905E1	1.460E2	1.576E2	1.253E2	1.641E2	1.337E2	1.534E2	1.656E2	1.430E2	1.458E2	1.692E2	6.470E1	7.090E1	1.742E2	7.298E1	1.494E2	1.668E2	6.495E1	1.214E2
