n   	classic	gemm 	322 	232 	223 	333-21 	224 	242 	422 	225 	252 	522 	323 	332 	233 	334 	343 	433 	442 	424 	244 	444 	552 	525 	255 	555 	272 	227 	722 	333-20 	
256		8.119e1	1.42e2	1.013e2	8.403e1	1.026e2	7.855e1	1.029e2	7.409e1	9.879e1	1.017e2	6.696e1	9.829e1	1.023e2	8.443e1	8.618e1	8.546e1	6.248e1	8.455e1	7.68e1	1.038e2	7.966e1	7.837e1	6.728e1	1.053e2	6.508e1	5.648e1	4.531e1	1.017e2	9.505e1	8.351e1	
512		8.787e1	1.561e2	1.173e2	1.03e2	1.26e2	1.063e2	1.27e2	8.674e1	1.224e2	1.209e2	6.026e1	1.153e2	1.241e2	1.016e2	1.051e2	1.048e2	1.065e2	1.061e2	1.055e2	1.466e2	1.14e2	1.182e2	9.094e1	1.424e2	8.859e1	1.143e2	4.873e1	1.209e2	1.34e2	9.638e1	
768		9.032e1	1.644e2	1.359e2	1.243e2	1.385e2	1.257e2	1.44e2	1.226e2	1.321e2	1.387e2	1.013e2	1.259e2	1.382e2	1.317e2	1.277e2	1.294e2	1.288e2	1.402e2	1.287e2	1.63e2	1.347e2	1.347e2	1.119e2	1.564e2	9.693e1	1.401e2	9.208e1	1.634e2	1.311e2	1.253e2	
1024	8.054e1	1.679e2	1.482e2	1.372e2	1.559e2	1.399e2	1.529e2	1.438e2	1.523e2	1.585e2	1.231e2	1.408e2	1.475e2	1.377e2	1.305e2	1.363e2	1.404e2	1.463e2	1.537e2	1.625e2	1.572e2	1.724e2	1.236e2	1.616e2	1.305e2	1.529e2	1.103e2	1.659e2	1.579e2	1.428e2	
