n   	classic	gemm 	322 	232 	223 	333-21 	224 	242 	422 	225 	252 	522 	232 	332 	233 	334 	343 	433 	442 	424 	244 	444 	552 	525 	255 	555 	272 	227 	722 	333-20 	
512		2.58e-1	3.22e-1	1.50e-1	3.31e-1	3.30e-1	1.68e-1	3.51e-1	3.38e-1	2.86e-1	3.36e-1	2.99e-1	1.42e-1	1.77e-1	1.4e-1	2.94e-1	1.77e-1	1.73e-1	3.01e-1	2.92e-1	2.94e-1	3.56e-1	2.95e-1	1.57e-1	1.60e-1	3.4e-1	1.54e-1	3.01e-1	3.26e-1	1.87e-1	1.75e-1	
1024	1.002e0	1.56e0	1.198e0	1.153e0	1.479e0	1.397e0	1.515e0	1.466e0	1.371e0	1.6e0	1.4e0	5.57e-1	1.37e0	1.356e0	1.422e0	1.422e0	1.353e0	1.464e0	1.367e0	1.56e0	1.615e0	1.624e0	6.02e-1	5.72e-1	1.685e0	5.97e-1	1.468e0	1.327e0	5.86e-1	1.305e0	
1536	2.007e0	3.742e0	3.421e0	3.258e0	3.623e0	3.546e0	3.673e0	3.581e0	3.44e0	3.504e0	3.079e0	3.141e0	3.627e0	3.487e0	3.837e0	3.717e0	3.748e0	3.606e0	3.582e0	3.863e0	4.408e0	3.792e0	3.353e0	3.386e0	3.962e0	3.851e0	3.196e0	3.938e0	1.888e0	3.678e0	
2048	3.997e0	6.666e0	3.646e0	5.993e0	6.06e0	3.953e0	6.853e0	6.517e0	6.436e0	6.466e0	5.978e0	3.514e0	3.977e0	3.892e0	6.277e0	4.083e0	3.912e0	6.808e0	6.686e0	7.226e0	8.066e0	7.859e0	3.916e0	3.989e0	7.538e0	4.45e0	6.219e0	6.709e0	3.425e0	3.805e0	
2560	6.261e0	1.046e1	8.814e0	1.024e1	1.024e1	1.038e1	1.043e1	9.872e0	1.029e1	1.068e1	9.98e0	9.818e0	1.128e1	1.04e1	1.137e1	1.037e1	1.101e1	1.095e1	1.062e1	1.179e1	1.251e1	1.177e1	1.071e1	1.128e1	1.206e1	1.213e1	1.027e1	1.029e1	6.796e0	1.057e1	
3072	6.843e0	1.491e1	1.523e1	1.47e1	1.533e1	1.561e1	1.577e1	1.572e1	1.472e1	1.55e1	1.53e1	1.057e1	1.703e1	1.559e1	1.658e1	1.574e1	1.673e1	1.641e1	1.635e1	1.772e1	1.791e1	1.806e1	1.115e1	1.151e1	1.744e1	1.174e1	1.443e1	1.582e1	9.086e0	1.545e1	
3584	1.240e1	1.987e1	1.71e1	2.127e1	2.074e1	1.607e1	2.128e1	2.069e1	2.087e1	2.011e1	1.997e1	1.704e1	1.759e1	1.771e1	2.221e1	1.754e1	1.749e1	2.254e1	2.204e1	2.375e1	2.396e1	2.546e1	1.71e1	1.778e1	2.375e1	1.848e1	1.993e1	2.308e1	2.017e1	1.809e1	
4096	1.455e1	2.609e1	2.552e1	2.662e1	2.606e1	2.838e1	2.934e1	2.761e1	2.711e1	2.677e1	2.677e1	2.787e1	2.86e1	2.745e1	2.992e1	2.847e1	2.954e1	2.842e1	2.943e1	3.058e1	3.237e1	3.277e1	2.827e1	2.976e1	3.175e1	3.072e1	2.666e1	2.935e1	2.56e1	2.914e1	
