n   	classic	gemm 	322 	232 	223 	333-21 	224 	242 	422 	225 	252 	522 	323 	332 	233 	334 	343 	433 	442 	424 	244 	444 	552 	525 	255 	555 	272 	227 	722 	333-20 	
1024	7.196E1	1.264E2	1.269E2	8.792E1	9.732E1	1.098E2	1.136E2	1.082E2	1.309E2	9.576E1	1.090E2	1.276E2	1.028E2	1.205E2	1.184E2	1.008E2	1.146E2	1.223E2	1.175E2	1.280E2	1.144E2	1.404E2	1.194E2	1.198E2	9.740E1	1.250E2	8.216E1	8.908E1	1.201E2	1.172E2
2048	8.151E1	1.526E2	1.551E2	1.527E2	1.328E2	1.465E2	1.006E2	1.473E2	1.600E2	1.446E2	1.476E2	1.547E2	1.479E2	1.495E2	1.444E2	1.515E2	1.529E2	1.536E2	1.495E2	1.626E2	1.444E2	1.739E2	1.386E2	1.555E2	1.349E2	1.408E2	1.363E2	1.406E2	1.474E2	1.455E2
3072	8.302E1	1.551E2	1.522E2	1.641E2	1.185E2	1.528E2	9.987E1	1.728E2	1.634E2	1.272E2	1.572E2	1.504E2	1.380E2	1.482E2	1.648E2	1.342E2	1.756E2	1.602E2	1.491E2	1.674E2	1.545E2	1.789E2	1.033E2	1.625E2	1.336E2	1.573E2	8.484E1	1.192E2	1.319E2	1.343E2
4096	7.475E1	1.546E2	1.618E2	1.592E2	1.660E2	1.636E2	1.578E2	1.695E2	1.716E2	1.302E2	1.371E2	1.608E2	1.461E2	1.571E2	1.717E2	1.332E2	1.619E2	1.418E2	1.588E2	1.569E2	1.437E2	1.843E2	1.560E2	1.477E2	1.522E2	1.572E2	1.103E2	1.416E2	1.535E2	1.503E2
