n	bini322			dgemm			schonhage333		smirnov224		smirnov225		smirnov272		smirnov323		smirnov333		smirnov334		smirnov442		smirnov444		smirnov552		smirnov555
512	127.69736647605896	75.47466015815735	133.43661618232727	109.69174361228943	116.37139892578125	122.60092568397522	119.83531403541565	126.24118041992188	125.04689264297485	108.59487533569336	116.75765347480774	121.3650918006897	133.51976418495178
1024	232.57714986801147	155.54856085777283	236.2191882133484	217.6532163619995	230.7505292892456	235.83197784423828	228.20894646644592	217.64645433425903	222.13904404640198	217.62490963935852	224.13721299171448	245.07389664649963	278.10954093933105
2048	557.5727863311768	360.14541888237		547.5606157779694	445.9677963256836	462.9351134300232	480.70887756347656	531.0093142986298	540.7516167163849	517.9399678707123	425.34637999534607	433.6703724861145	541.411625623703	559.5704891681671
4096	1232.3494200706482	1107.0326180458069	1228.7042145729065	1100.2824132442474	1180.6870291233063	1396.520385503769	1143.3760435581207	1207.7889428138733	1117.0077188014984	1076.161926984787	1101.268877029419	1065.2506983280182	1089.0367693901062
8192	3813.10733127594	2904.9660744667053	3790.10808634758	2833.978324651718	3108.0482194423676	3558.714409828186	3393.3677258491516	3739.5490605831146	3344.337047815323	2712.949944972992	2957.8816788196564	3381.2766773700714	3248.660374403
