n   	classic	gemm 	322 	232 	223 	333-21 	224 	242 	422 	225 	252 	522 	323 	332 	233 	334 	343 	433 	442 	424 	244 	444 	552 	525 	255 	555 	272 	227 	722 	333-20 	
1024	1.907e1	3.622e1	2.519e1	2.911e1	3.159e1	2.492e1	3.299e1	3.012e1	3.064e1	3.132e1	2.503e1	1.713e1	3.022e1	2.792e1	3.159e1	2.848e1	2.816e1	2.923e1	2.637e1	3.208e1	3.262e1	3.706e1	1.575e1	1.757e1	2.905e1	1.962e1	2.382e1	3.397e1	1.791e1	2.894e1	
2048	1.063e2	1.552e2	1.304e2	1.542e2	1.341e2	1.524e2	1.482e2	1.443e2	1.286e2	1.415e2	1.256e2	7.527e1	1.378e2	1.501e2	1.685e2	1.552e2	1.331e2	1.404e2	1.381e2	1.388e2	1.533e2	1.414e2	6.842e1	7.597e1	1.382e2	7.169e1	1.263e2	1.421e2	7.635e1	1.568e2	
3072	2.535e2	3.512e2	2.73e2	2.821e2	3.355e2	2.583e2	3.53e2	2.88e2	3.201e2	2.904e2	3.663e2	1.451e2	2.284e2	3.336e2	3.589e2	2.522e2	3.155e2	2.83e2	2.944e2	3.087e2	3.78e2	3.049e2	1.54e2	1.59e2	3.623e2	1.561e2	2.364e2	3.337e2	1.421e2	3.392e2	
4096	4.376e2	6.255e2	5.574e2	6.14e2	4.638e2	5.122e2	5.988e2	6.305e2	5.258e2	6.157e2	5.911e2	2.417e2	5.809e2	5.238e2	6.116e2	5.705e2	5.866e2	6.375e2	5.41e2	6.346e2	7.011e2	6.127e2	2.579e2	2.657e2	6.406e2	2.828e2	6.696e2	4.578e2	2.418e2	5.493e2	
