n   	classic	gemm 	322 	232 	223 	333-21 	224 	242 	422 	225 	252 	522 	323 	332 	233 	334 	343 	433 	442 	424 	244 	444 	552 	525 	255 	555 	272 	227 	722 	333-20 	
256		5.017e1	1.28e2	8.718e1	9.402e1	7.499e1	7.845e1	7.698e1	1.056e2	9.958e1	6.18e1	7.313e1	5.134e1	7.755e1	8.857e1	8.251e1	7.125e1	8.017e1	8.106e1	1.307e2	6.896e1	7.626e1	8.801e1	6.111e1	4.159e1	6.672e1	5.105e1	1.164e2	4.69e1	5.761e1	8.039e1	
512		1.059e2	1.465e2	1.277e2	1.401e2	1.225e2	1.238e2	1.369e2	1.518e2	1.314e2	1.115e2	1.418e2	6.143e1	1.104e2	1.335e2	1.294e2	1.247e2	1.244e2	1.287e2	1.533e2	1.187e2	1.445e2	1.269e2	6.626e1	5.885e1	1.231e2	5.875e1	1.445e2	1.022e2	6.635e1	1.204e2	
768		9.718e1	1.532e2	1.22e2	1.54e2	1.441e2	1.185e2	1.505e2	1.647e2	1.561e2	1.227e2	1.561e2	5.96e1	1.315e2	1.37e2	1.553e2	1.434e2	1.478e2	1.522e2	1.711e2	1.391e2	1.342e2	1.465e2	6.66e1	6.269e1	1.404e2	6.212e1	1.536e2	1.085e2	6.313e1	1.48e2	
1024	1.155e2	1.306e2	1.425e2	1.634e2	1.51e2	1.491e2	1.592e2	1.728e2	1.495e2	1.389e2	1.653e2	6.643e1	1.373e2	1.546e2	1.565e2	1.5e2	1.51e2	1.611e2	1.779e2	1.414e2	1.707e2	1.572e2	6.99e1	6.838e1	1.553e2	6.534e1	1.621e2	1.311e2	7.104e1	1.518e2	
