n   	classic	gemm 	322 	232 	223 	333-21 	224 	242 	422 	225 	252 	522 	323 	332 	233 	334 	343 	433 	442 	424 	244 	444 	552 	525 	255 	555 	272 	227 	722 	333-20 	
1024	9.220E1	1.527E2	1.257E2	1.438E2	1.223E2	1.481E2	1.453E2	1.546E2	1.500E2	1.219E2	1.505E2	1.518E2	1.433E2	1.465E2	1.548E2	1.473E2	1.533E2	1.421E2	1.708E2	1.442E2	1.446E2	1.443E2	1.485E2	1.261E2	1.329E2	1.307E2	1.491E2	1.005E2	1.425E2	1.445E2
2048	9.305E1	1.603E2	1.526E2	1.671E2	1.516E2	1.439E2	1.564E2	1.742E2	1.599E2	1.491E2	1.668E2	1.627E2	1.560E2	1.729E2	1.592E2	1.676E2	1.512E2	1.686E2	1.854E2	1.658E2	1.725E2	1.692E2	1.701E2	1.529E2	1.588E2	1.764E2	1.769E2	1.344E2	1.571E2	1.761E2
3072	9.783E1	1.631E2	1.640E2	1.651E2	1.589E2	1.713E2	1.631E2	1.831E2	1.666E2	1.584E2	1.777E2	1.709E2	1.723E2	1.780E2	1.749E2	1.753E2	1.819E2	1.798E2	1.941E2	1.812E2	1.881E2	2.000E2	1.849E2	1.717E2	1.786E2	1.749E2	1.753E2	1.490E2	1.667E2	1.756E2
4096	9.431E1	1.665E2	1.651E2	1.673E2	1.610E2	1.763E2	1.713E2	1.831E2	1.791E2	1.713E2	1.823E2	1.623E2	1.693E2	1.839E2	1.827E2	1.784E2	1.888E2	1.884E2	1.996E2	1.878E2	1.979E2	2.043E2	1.925E2	1.718E2	1.916E2	1.844E2	1.719E2	1.659E2	1.644E2	1.856E2
