n   	classic	gemm 	322 	232 	223 	333-21 	224 	242 	422 	225 	252 	522 	323 	332 	233 	334 	343 	433 	442 	424 	244 	444 	552 	525 	255 	555 	272 	227 	722 	333-20 	
256		9.253e1	1.543e2	1.099e2	1.165e2	8.53e1	8.959e1	7.874e1	1.149e2	1.088e2	6.633e1	1.097e2	9.338e1	8.626e1	1.032e2	9.268e1	8.786e1	9.334e1	9.125e1	1.198e2	8.24e1	8.453e1	7.786e1	1.193e2	6.717e1	7.015e1	8.224e1	1.038e2	4.804e1	9.455e1	9.0e1	
512		8.714e1	1.638e2	1.201e2	1.363e2	1.116e2	1.125e2	1.076e2	1.429e2	1.389e2	9.499e1	1.34e2	1.165e2	1.185e2	1.279e2	1.227e2	1.127e2	1.272e2	1.259e2	1.823e2	1.193e2	1.2e2	1.428e2	1.658e2	9.868e1	9.835e1	9.208e1	1.288e2	6.987e1	1.372e2	1.232e2	
768		1.01e2	1.53e2	1.256e2	1.184e2	1.294e2	1.357e2	1.29e2	1.503e2	1.466e2	1.125e2	1.489e2	1.315e2	1.435e2	1.375e2	1.431e2	1.333e2	1.525e2	1.548e2	1.828e2	1.394e2	1.477e2	1.505e2	1.598e2	1.186e2	1.215e2	1.301e2	1.43e2	8.417e1	1.373e2	1.435e2	
1024	1.016e2	1.598e2	1.384e2	1.67e2	1.51e2	1.472e2	1.388e2	1.687e2	1.568e2	1.288e2	1.67e2	1.59e2	1.57e2	1.546e2	1.545e2	1.45e2	1.617e2	1.571e2	1.859e2	1.547e2	1.575e2	1.754e2	1.704e2	1.273e2	1.412e2	1.5e2	1.505e2	1.224e2	1.569e2	1.502e2	
