n   	classic	gemm 	322 	232 	223 	333-21 	224 	242 	422 	225 	252 	522 	323 	332 	233 	334 	343 	433 	442 	424 	244 	444 	552 	525 	255 	555 	272 	227 	722 	333-20 	
256		1.057e2	1.579e2	1.199e2	1.133e2	9.059e1	8.868e1	8.122e1	1.083e2	1.122e2	7.005e1	1.075e2	1.121e2	9.04e1	1.086e2	8.505e1	9.059e1	9.096e1	9.206e1	1.288e2	8.095e1	8.401e1	7.738e1	1.174e2	7.232e1	6.825e1	7.265e1	1.155e2	4.915e1	1.099e2	8.743e1	
512		9.99e1	1.663e2	1.287e2	1.191e2	1.021e2	1.032e2	1.053e2	1.361e2	1.396e2	8.159e1	1.245e2	1.295e2	1.137e2	1.432e2	1.064e2	1.051e2	1.176e2	1.153e2	1.707e2	1.181e2	1.117e2	1.25e2	1.688e2	1.047e2	9.497e1	1.152e2	1.369e2	7.773e1	1.449e2	1.034e2	
768		1.033e2	1.553e2	1.376e2	1.544e2	1.304e2	1.345e2	1.278e2	1.37e2	1.556e2	1.089e2	1.335e2	1.579e2	1.451e2	1.569e2	1.314e2	1.293e2	1.483e2	1.39e2	1.559e2	1.461e2	1.417e2	1.638e2	1.463e2	1.187e2	1.156e2	1.369e2	1.399e2	8.475e1	1.456e2	1.412e2	
1024	9.322e1	1.617e2	1.509e2	1.419e2	1.562e2	1.462e2	1.444e2	1.622e2	1.614e2	1.152e2	1.543e2	1.695e2	1.566e2	1.719e2	1.509e2	1.448e2	1.469e2	1.537e2	1.812e2	1.585e2	1.584e2	1.836e2	1.858e2	1.339e2	1.341e2	1.569e2	1.488e2	1.169e2	1.5e2	1.515e2	
