n   	classic	gemm 	322 	232 	223 	333-21 	224 	242 	422 	225 	252 	522 	323 	332 	233 	334 	343 	433 	442 	424 	244 	444 	552 	525 	255 	555 	272 	227 	722 	333-20 	
1024	7.440E1	1.524E2	1.464E2	1.310E2	1.436E2	1.302E2	1.386E2	1.419E2	1.541E2	1.503E2	8.580E1	1.349E2	1.461E2	1.109E2	1.425E2	1.206E2	1.256E2	1.364E2	1.178E2	1.481E2	1.255E2	1.300E2	9.500E1	1.547E2	1.210E2	1.252E2	1.051E2	1.449E2	1.261E2	1.382E2
2048	9.185E1	1.649E2	1.508E2	1.496E2	1.614E2	1.578E2	1.644E2	1.376E2	1.525E2	1.660E2	1.390E2	1.583E2	1.582E2	1.523E2	1.544E2	1.634E2	1.382E2	1.663E2	1.509E2	1.742E2	1.672E2	1.707E2	1.359E2	1.696E2	1.514E2	1.566E2	1.252E2	1.669E2	1.445E2	1.500E2
3072	9.403E1	1.649E2	1.674E2	1.669E2	1.712E2	1.729E2	1.746E2	1.629E2	1.692E2	1.727E2	1.477E2	1.543E2	1.773E2	1.681E2	1.786E2	1.807E2	1.666E2	1.712E2	1.678E2	1.894E2	1.853E2	1.781E2	1.597E2	1.811E2	1.724E2	1.754E2	1.537E2	1.787E2	1.490E2	1.736E2
4096	9.200E1	1.633E2	1.688E2	1.601E2	1.609E2	1.674E2	1.735E2	1.797E2	1.741E2	1.781E2	1.643E2	1.529E2	1.755E2	1.675E2	1.778E2	1.773E2	1.788E2	1.867E2	1.757E2	1.871E2	1.865E2	1.881E2	1.663E2	1.936E2	1.749E2	1.874E2	1.524E2	1.783E2	1.609E2	1.824E2
