n   	gemm 	322 	232 	223 	333-21 	224 	242 	422 	225 	252 	522 	323 	332 	233 	334 	343 	433 	442 	424 	244 	444 	552 	525 	255 	555 	272 	227 	722 	333-20 	
512		1.09e-7	2.71e-4	2.39e-4	1.85e-4	3.90e-4	3.88e-3	3.14e-3	3.81e-3	1.61e-2	4.54e-3	7.14e-3	1.57e-2	9.81e-3	9.68e-3	1.37e-2	7.44e-3	1.29e-2	1.06e-2	1.48e-2	6.98e-3	1.59e-2	1.14e-2	1.55e-2	9.78e-3	3.87e-3	4.62e-3	1.76e-2	2.19e-2	1.64e-2	
1024	1.09e-7	2.71e-4	2.39e-4	1.85e-4	3.89e-4	3.88e-3	3.14e-3	3.81e-3	1.61e-2	4.54e-3	7.17e-3	1.57e-2	9.83e-3	9.66e-3	1.37e-2	7.45e-3	1.29e-2	1.06e-2	1.48e-2	6.98e-3	1.60e-2	1.14e-2	1.55e-2	9.78e-3	3.89e-3	4.62e-3	1.76e-2	2.19e-2	1.64e-2	
1536	1.08e-7	2.72e-4	2.39e-4	1.85e-4	3.90e-4	3.88e-3	3.14e-3	3.81e-3	1.61e-2	4.54e-3	7.17e-3	1.57e-2	9.85e-3	9.68e-3	1.37e-2	7.46e-3	1.29e-2	1.06e-2	1.48e-2	6.98e-3	1.59e-2	1.14e-2	1.56e-2	9.78e-3	3.90e-3	4.62e-3	1.76e-2	2.19e-2	1.65e-2	
2048	1.09e-7	2.72e-4	2.39e-4	1.85e-4	3.90e-4	3.88e-3	3.14e-3	3.81e-3	1.61e-2	4.54e-3	7.18e-3	1.57e-2	9.84e-3	9.67e-3	1.37e-2	7.46e-3	1.29e-2	1.06e-2	1.48e-2	6.98e-3	1.59e-2	1.14e-2	1.56e-2	9.78e-3	3.90e-3	4.62e-3	1.76e-2	2.19e-2	1.64e-2	
2560	1.08e-7	2.71e-4	2.39e-4	1.85e-4	3.90e-4	3.88e-3	3.14e-3	3.81e-3	1.61e-2	4.54e-3	7.18e-3	1.57e-2	9.84e-3	9.67e-3	1.37e-2	7.46e-3	1.29e-2	1.06e-2	1.48e-2	6.98e-3	1.59e-2	1.14e-2	1.56e-2	9.77e-3	3.90e-3	4.62e-3	1.76e-2	2.19e-2	1.64e-2	
3072	1.09e-7	2.72e-4	2.39e-4	1.85e-4	3.91e-4	3.88e-3	3.14e-3	3.81e-3	1.61e-2	4.54e-3	7.17e-3	1.57e-2	9.84e-3	9.67e-3	1.37e-2	7.46e-3	1.29e-2	1.06e-2	1.48e-2	6.98e-3	1.59e-2	1.14e-2	1.56e-2	9.78e-3	3.90e-3	4.62e-3	1.76e-2	2.19e-2	1.65e-2	
3584	1.09e-7	2.72e-4	2.39e-4	1.85e-4	3.91e-4	3.88e-3	3.14e-3	3.81e-3	1.61e-2	4.54e-3	7.17e-3	1.57e-2	9.85e-3	9.68e-3	1.37e-2	7.46e-3	1.29e-2	1.06e-2	1.48e-2	6.98e-3	1.59e-2	1.14e-2	1.56e-2	9.78e-3	3.90e-3	4.62e-3	1.76e-2	2.19e-2	1.65e-2	
4096	1.09e-7	2.72e-4	2.39e-4	1.85e-4	3.91e-4	3.88e-3	3.14e-3	3.81e-3	1.61e-2	4.54e-3	7.16e-3	1.57e-2	9.84e-3	9.67e-3	1.37e-2	7.46e-3	1.29e-2	1.06e-2	1.48e-2	6.98e-3	1.60e-2	1.14e-2	1.56e-2	9.77e-3	3.90e-3	4.62e-3	1.76e-2	2.19e-2	1.65e-2	
