epoch	bini322_train	bini322_test	dgemm_train	dgemm_test	schonhage333_train	schonhage333_test	smirnov224_train	smirnov224_test	smirnov225_train	smirnov225_test	smirnov272_train	smirnov272_test	smirnov323_train	smirnov323_test	smirnov333_train	smirnov333_test	smirnov334_train	smirnov334_test	smirnov442_train	smirnov442_test	smirnov444_train	smirnov444_test	smirnov552_train	smirnov552_test	smirnov555_train	smirnov555_test
0	0.8977833390235901	0.9495000243186951	0.8977000117301941	0.949400007724762	0.897683322429657	0.9502999782562256	0.8977166414260864	0.9487000107765198	0.8974666595458984	0.949999988079071	0.8974833488464355	0.9488999843597412	0.8975333571434021	0.9495000243186951	0.8964333534240723	0.9485999941825867	0.8977500200271606	0.949999988079071	0.897516667842865	0.9495999813079834	0.897183358669281	0.9490000009536743	0.8979666829109192	0.9506999850273132	0.897433340549469	0.9491000175476074
1	0.9624500274658203	0.9664999842643738	0.9621166586875916	0.9663000106811523	0.9622499942779541	0.9664999842643738	0.9627500176429749	0.9657999873161316	0.9619333148002625	0.9664000272750854	0.9623166918754578	0.9666000008583069	0.9626833200454712	0.9668999910354614	0.9612833261489868	0.9656999707221985	0.9624000191688538	0.9660999774932861	0.962066650390625	0.96670001745224	0.9620000123977661	0.9660000205039978	0.9626833200454712	0.9661999940872192	0.9620500206947327	0.9672999978065491
2	0.9759666919708252	0.9703999757766724	0.975933313369751	0.9704999923706055	0.9757166504859924	0.9710000157356262	0.9761499762535095	0.9710999727249146	0.9758166670799255	0.9710999727249146	0.9761666655540466	0.97079998254776	0.9760000109672546	0.9711999893188477	0.9754499793052673	0.9703999757766724	0.9760666489601135	0.9717000126838684	0.9760666489601135	0.9703999757766724	0.9754666686058044	0.9702000021934509	0.9759166836738586	0.9714000225067139	0.9759666919708252	0.970300018787384
3	0.9832166433334351	0.9714000225067139	0.9829999804496765	0.972100019454956	0.9826333522796631	0.972000002861023	0.9831833243370056	0.9706000089645386	0.9827166795730591	0.9715999960899353	0.9831833243370056	0.9718000292778015	0.9829166531562805	0.972000002861023	0.9825000166893005	0.9715999960899353	0.9831333160400391	0.9696000218391418	0.9827166795730591	0.9726999998092651	0.982783317565918	0.9703999757766724	0.982783317565918	0.9717000126838684	0.9830499887466431	0.9682999849319458
4	0.986133337020874	0.9725000262260437	0.9855499863624573	0.9735000133514404	0.9865333437919617	0.9685999751091003	0.986050009727478	0.974399983882904	0.9865999817848206	0.97079998254776	0.9859833121299744	0.9718999862670898	0.9853500127792358	0.9736999869346619	0.9860333204269409	0.9681000113487244	0.986050009727478	0.9739999771118164	0.9860666394233704	0.9714999794960022	0.9866166710853577	0.9713000059127808	0.9861999750137329	0.9715999960899353	0.9857666492462158	0.9753999710083008
5	0.9877833127975464	0.972599983215332	0.9881333112716675	0.9731000065803528	0.9884833097457886	0.9746999740600586	0.9888666868209839	0.9751999974250793	0.9878666400909424	0.9745000004768372	0.9879166483879089	0.975600004196167	0.9886166453361511	0.9729999899864197	0.9879666566848755	0.9732000231742859	0.9873499870300293	0.9728999733924866	0.9896166920661926	0.9745000004768372	0.9876333475112915	0.9740999937057495	0.98826664686203	0.9764000177383423	0.9884833097457886	0.9768000245094299
6	0.9888666868209839	0.9757999777793884	0.9897333383560181	0.9746999740600586	0.9908833503723145	0.9787999987602234	0.9906499981880188	0.9781000018119812	0.9892666935920715	0.9746000170707703	0.9904000163078308	0.9783999919891357	0.9905499815940857	0.9789999723434448	0.9881166815757751	0.9776999950408936	0.9895166754722595	0.9733999967575073	0.9911500215530396	0.9757000207901001	0.9899166822433472	0.9757999777793884	0.9897666573524475	0.9772999882698059	0.991349995136261	0.9749000072479248
7	0.9929666519165039	0.9746999740600586	0.9928666949272156	0.9735000133514404	0.9922500252723694	0.9745000004768372	0.992733359336853	0.9758999943733215	0.991599977016449	0.9743000268936157	0.9929333329200745	0.9732999801635742	0.9921000003814697	0.973800003528595	0.9925500154495239	0.9725000262260437	0.9928833246231079	0.977400004863739	0.9923166632652283	0.9753000140190125	0.9930166602134705	0.9726999998092651	0.993066668510437	0.9725000262260437	0.9930999875068665	0.9725000262260437
8	0.9953166842460632	0.9685999751091003	0.9942166805267334	0.9728000164031982	0.9946666955947876	0.9700000286102295	0.9944499731063843	0.9718999862670898	0.9945166707038879	0.9724000096321106	0.994533360004425	0.9689000248908997	0.9937499761581421	0.9728000164031982	0.9952166676521301	0.9740999937057495	0.994533360004425	0.970300018787384	0.9927499890327454	0.9724000096321106	0.9942333102226257	0.9775000214576721	0.9948333501815796	0.9764000177383423	0.9939500093460083	0.9714999794960022
9	0.9954500198364258	0.9718999862670898	0.9948166608810425	0.9713000059127808	0.9937833547592163	0.9781000018119812	0.9939166903495789	0.9718000292778015	0.9946500062942505	0.9711999893188477	0.9949166774749756	0.9736999869346619	0.9950000047683716	0.9761000275611877	0.9942499995231628	0.9779000282287598	0.9948999881744385	0.9757000207901001	0.9940666556358337	0.9732000231742859	0.9944333434104919	0.9753999710083008	0.994866669178009	0.9797000288963318	0.9958999752998352	0.9714999794960022
