n   	classic	gemm 	322 	232 	223 	333-21 	224 	242 	422 	225 	252 	522 	323 	332 	233 	334 	343 	433 	442 	424 	244 	444 	552 	525 	255 	555 	272 	227 	722 	333-20 	
1024	8.026E1	1.565E2	1.419E2	1.343E2	1.435E2	1.355E2	1.428E2	1.277E2	1.468E2	1.308E2	1.007E2	1.388E2	1.490E2	1.346E2	1.283E2	1.374E2	1.339E2	1.393E2	1.419E2	1.503E2	1.429E2	1.268E2	1.196E2	1.387E2	1.260E2	1.230E2	1.020E2	1.389E2	1.325E2	1.197E2
2048	8.732E1	1.569E2	1.578E2	1.607E2	1.476E2	1.489E2	1.618E2	1.404E2	1.536E2	1.444E2	1.283E2	1.436E2	1.657E2	1.302E2	1.317E2	1.348E2	1.589E2	1.411E2	1.525E2	1.511E2	1.486E2	1.514E2	1.307E2	1.507E2	1.397E2	1.341E2	1.331E2	1.436E2	1.517E2	1.349E2
3072	9.451E1	1.633E2	1.511E2	1.634E2	1.621E2	1.753E2	1.685E2	1.541E2	1.649E2	1.646E2	1.466E2	1.604E2	1.610E2	1.743E2	1.797E2	1.771E2	1.781E2	1.756E2	1.765E2	1.739E2	1.680E2	1.614E2	1.691E2	1.654E2	1.724E2	1.701E2	1.686E2	1.504E2	1.552E2	1.599E2
4096	9.587E1	1.574E2	1.658E2	1.615E2	1.564E2	1.495E2	1.652E2	1.620E2	1.710E2	1.630E2	1.614E2	1.532E2	1.560E2	1.734E2	1.684E2	1.612E2	1.792E2	1.788E2	1.813E2	1.784E2	1.737E2	1.640E2	1.530E2	1.647E2	1.711E2	1.720E2	1.526E2	1.634E2	1.587E2	1.651E2
