n   	classic	gemm 	322 	232 	223 	333-21 	224 	242 	422 	225 	252 	522 	323 	332 	233 	334 	343 	433 	442 	424 	244 	444 	552 	525 	255 	555 	272 	227 	722 	333-20 	
1024	7.628E1	1.449E2	1.008E2	1.164E2	1.264E2	9.968E1	1.320E2	1.205E2	1.226E2	1.253E2	1.001E2	6.852E1	1.209E2	1.117E2	1.264E2	1.139E2	1.126E2	1.169E2	1.055E2	1.283E2	1.305E2	1.482E2	6.300E1	7.028E1	1.162E2	7.848E1	9.528E1	1.359E2	7.164E1	1.158E2
2048	1.063E2	1.552E2	1.304E2	1.542E2	1.341E2	1.524E2	1.482E2	1.443E2	1.286E2	1.415E2	1.256E2	7.527E1	1.378E2	1.501E2	1.685E2	1.552E2	1.331E2	1.404E2	1.381E2	1.388E2	1.533E2	1.414E2	6.842E1	7.597E1	1.382E2	7.169E1	1.263E2	1.421E2	7.635E1	1.568E2
3072	1.127E2	1.561E2	1.213E2	1.254E2	1.491E2	1.148E2	1.569E2	1.280E2	1.423E2	1.291E2	1.628E2	6.449E1	1.015E2	1.483E2	1.595E2	1.121E2	1.402E2	1.258E2	1.308E2	1.372E2	1.680E2	1.355E2	6.844E1	7.067E1	1.610E2	6.938E1	1.051E2	1.483E2	6.316E1	1.508E2
4096	1.094E2	1.564E2	1.394E2	1.535E2	1.160E2	1.281E2	1.497E2	1.576E2	1.315E2	1.539E2	1.478E2	6.043E1	1.452E2	1.310E2	1.529E2	1.426E2	1.467E2	1.594E2	1.353E2	1.587E2	1.753E2	1.532E2	6.448E1	6.643E1	1.602E2	7.070E1	1.674E2	1.145E2	6.045E1	1.373E2
