n   	classic	gemm 	322 	232 	223 	333-21 	224 	242 	422 	225 	252 	522 	323 	332 	233 	334 	343 	433 	442 	424 	244 	444 	552 	525 	255 	555 	272 	227 	722 	333-20 	
256		4.589e1	1.399e2	9.207e1	9.116e1	7.398e1	7.608e1	7.259e1	9.883e1	9.824e1	6.261e1	8.848e1	9.082e1	7.244e1	8.445e1	8.096e1	7.87e1	8.031e1	8.076e1	1.248e2	6.943e1	7.525e1	1.018e2	1.161e2	6.094e1	6.468e1	9.139e1	1.009e2	4.404e1	1.038e2	8.022e1	
512		7.948e1	1.525e2	1.36e2	1.317e2	1.254e2	1.327e2	1.349e2	1.451e2	1.528e2	1.158e2	1.391e2	1.405e2	1.177e2	1.374e2	1.285e2	1.303e2	1.22e2	1.327e2	1.604e2	1.389e2	1.391e2	1.355e2	1.447e2	1.142e2	1.183e2	1.191e2	1.291e2	9.933e1	1.393e2	1.296e2	
768		8.451e1	1.547e2	1.508e2	1.287e2	1.277e2	1.56e2	1.541e2	1.361e2	1.27e2	1.26e2	1.475e2	1.558e2	1.409e2	1.533e2	1.377e2	1.506e2	1.537e2	1.571e2	1.71e2	1.435e2	1.508e2	1.523e2	1.571e2	1.35e2	1.302e2	1.308e2	1.043e2	1.18e2	1.542e2	1.516e2	
1024	8.938e1	1.664e2	1.621e2	1.581e2	1.419e2	1.561e2	1.645e2	1.66e2	1.31e2	1.422e2	1.528e2	1.665e2	1.571e2	1.609e2	1.418e2	1.362e2	1.637e2	1.607e2	1.588e2	1.718e2	1.492e2	1.642e2	1.604e2	1.48e2	1.371e2	1.391e2	1.454e2	1.362e2	1.617e2	1.562e2	
