n   	classic	gemm 	322 	232 	223 	333-21 	224 	242 	422 	225 	252 	522 	323 	332 	233 	334 	343 	433 	442 	424 	244 	444 	552 	525 	255 	555 	272 	227 	722 	333-20 	
1024	8.940E1	1.572E2	1.424E2	1.249E2	1.484E2	1.394E2	1.379E2	1.559E2	1.554E2	1.214E2	1.447E2	1.458E2	1.417E2	1.425E2	1.344E2	1.350E2	1.462E2	1.397E2	1.638E2	1.483E2	1.347E2	1.473E2	1.579E2	1.319E2	1.196E2	1.208E2	1.377E2	1.097E2	1.471E2	1.548E2
2048	9.223E1	1.609E2	1.601E2	1.457E2	1.544E2	1.580E2	1.662E2	1.668E2	1.713E2	1.478E2	1.364E2	1.745E2	1.631E2	1.640E2	1.521E2	1.600E2	1.539E2	1.497E2	1.895E2	1.751E2	1.639E2	1.833E2	1.720E2	1.664E2	1.508E2	1.601E2	1.332E2	1.412E2	1.564E2	1.572E2
3072	9.312E1	1.596E2	1.673E2	1.633E2	1.609E2	1.680E2	1.644E2	1.733E2	1.763E2	1.568E2	1.636E2	1.772E2	1.846E2	1.778E2	1.669E2	1.807E2	1.758E2	1.809E2	1.882E2	1.876E2	1.851E2	1.926E2	1.709E2	1.731E2	1.696E2	1.859E2	1.628E2	1.568E2	1.797E2	1.720E2
4096	9.638E1	1.576E2	1.683E2	1.659E2	1.719E2	1.756E2	1.754E2	1.681E2	1.855E2	1.649E2	1.646E2	1.755E2	1.834E2	1.693E2	1.803E2	1.726E2	1.747E2	1.854E2	2.034E2	1.942E2	1.897E2	1.959E2	1.833E2	1.856E2	1.696E2	1.969E2	1.555E2	1.671E2	1.891E2	1.823E2
